date,symbol,open,high,low,close,volume,volume To
2018-10-03,ETHEUR,195.3,195.3,186.26,190.3,15630.55,2970376.7
2018-10-02,ETHEUR,199.66,199.95,192.79,195.3,9289.34,1826886.78
2018-10-01,ETHEUR,200.32,202.56,193.4,199.66,12658.07,2504354.05
2018-09-30,ETHEUR,199.8,205.84,194.86,200.32,11994.99,2410772.08
2018-09-29,ETHEUR,191.32,203.61,183.93,199.8,16644.66,3286293.27
2018-09-28,ETHEUR,196.79,200.78,185.62,191.32,19136.85,3711311.76
2018-09-27,ETHEUR,182.71,201.79,180.65,196.79,24406.34,4663195.94
2018-09-26,ETHEUR,186.85,189.9,177,182.71,18214.79,3361120.77
2018-09-25,ETHEUR,194.61,194.61,173.1,186.85,31246.0,5678905.58
2018-09-24,ETHEUR,208.81,209.7,191.75,194.61,18352.32,3668972.42
2018-09-23,ETHEUR,204.86,211.84,202.46,208.81,10358.81,2152735.44
2018-09-22,ETHEUR,211.93,217,198,204.86,16139.6,3298685.35
2018-09-21,ETHEUR,191.17,215.6,188.01,211.93,36825.31,7335762.41
2018-09-20,ETHEUR,179.98,193.24,176.22,191.17,17399.02,3156495.17
2018-09-19,ETHEUR,179.18,184,169.21,179.98,18877.86,3356309.57
2018-09-18,ETHEUR,168.85,184.19,166.68,179.18,20612.62,3639142.61
2018-09-17,ETHEUR,189.27,193.46,164.49,168.85,30682.68,5468479.43
2018-09-16,ETHEUR,192.04,193.21,180.1,189.27,11586.44,2181290.73
2018-09-15,ETHEUR,180.79,198.47,179.98,192.04,14142.89,2703535.05
2018-09-14,ETHEUR,180.64,192.3,173.42,180.79,37756.3,6876307.82
2018-09-13,ETHEUR,157.78,184.27,157.78,180.64,51373.96,8839989.28
2018-09-12,ETHEUR,159.99,159.99,144.44,157.78,40438.48,6081873.2
2018-09-11,ETHEUR,169.96,172.63,151.5,159.99,25553.45,4106634.93
2018-09-10,ETHEUR,169.1,175.42,161.16,169.96,17786.35,2994788.89
2018-09-09,ETHEUR,171.12,181,161.73,169.1,20076.47,3455350.48
2018-09-08,ETHEUR,186.9,191.28,166,171.12,18728.81,3307104.51
2018-09-07,ETHEUR,197.46,201.49,185.01,186.9,16139.66,3098376.66
2018-09-06,ETHEUR,196.72,200.16,182.21,197.46,27522.42,5345363.27
2018-09-05,ETHEUR,247.03,248.29,194.54,196.72,37097.65,8122858.02
2018-09-04,ETHEUR,248.81,253,244.57,247.03,10777.81,2677850.41
2018-09-03,ETHEUR,254.61,255.87,246.3,248.81,10358.15,2584128.18
2018-09-02,ETHEUR,254.62,257.66,250.01,254.61,5922.53,1503557.97
2018-09-01,ETHEUR,242.79,260.24,242.75,254.62,9064.37,2287342.19
2018-08-31,ETHEUR,244,245,238.09,242.79,8889.27,2147836.41
2018-08-30,ETHEUR,246.81,249.07,233.94,244,11567.75,2775143.84
2018-08-29,ETHEUR,253.68,254.81,243.5,246.81,11780.06,2944735.96
2018-08-28,ETHEUR,247.3,255,242.8,253.68,14572.69,3611392.22
2018-08-27,ETHEUR,236.34,247.3,234.12,247.3,8811.67,2105164.44
2018-08-26,ETHEUR,239.82,239.82,233,236.34,4075.03,961208.89
2018-08-25,ETHEUR,242.78,243.94,238.51,239.82,3520.59,847486.08
2018-08-24,ETHEUR,239.73,243.95,233.47,242.78,8306.17,1978814.16
2018-08-23,ETHEUR,234.16,243.68,232.44,239.73,9351.15,2218666.16
2018-08-22,ETHEUR,243.13,258.88,225.2,234.16,14878.73,3586637.96
2018-08-21,ETHEUR,236.98,248.92,235.11,243.13,10788.54,2609601.86
2018-08-20,ETHEUR,261.85,265.94,234.91,236.98,12620.79,3164981.1
2018-08-19,ETHEUR,259.79,269.31,255.1,261.85,5232.83,1371345.41
2018-08-18,ETHEUR,278.97,280.98,247.99,259.79,10517.03,2785542.19
2018-08-17,ETHEUR,253.7,279.87,251.72,278.97,17891.96,4755010.53
2018-08-16,ETHEUR,248.03,264.22,244.99,253.7,13322.23,3402315.9
2018-08-15,ETHEUR,246.37,272,244.14,248.03,27325.12,7012051.25
2018-08-14,ETHEUR,249.58,249.58,219.13,246.37,45644.47,10596651.78
2018-08-13,ETHEUR,279.81,283.41,247,249.58,22548.37,5919717.08
2018-08-12,ETHEUR,275.75,275.75,275.75,275.75,0.0,0.0
2018-08-11,ETHEUR,291.45,292.2,275.1,275.75,6800.77,1906591.08
2018-08-10,ETHEUR,316.67,318.62,285.81,291.45,14761.38,4507985.39
2018-08-09,ETHEUR,307.3,322.31,304.01,316.67,14828.94,4640556.47
2018-08-08,ETHEUR,326.46,328.64,302.39,307.3,18364.77,5763749.43
2018-08-07,ETHEUR,351.03,354.96,317.97,326.46,10711.66,3649210.72
2018-08-06,ETHEUR,354.69,357.1,347.2,351.03,5938.68,2089778.33
2018-08-05,ETHEUR,351.6,357.71,347.48,354.69,3525.49,1242000.67
2018-08-04,ETHEUR,361.12,363.38,346.06,351.6,6694.96,2360097.65
2018-08-03,ETHEUR,355.16,362.97,343.45,361.12,7444.04,2633492.88
2018-08-02,ETHEUR,359.8,363.98,351.33,355.16,7143.43,2546932.76
2018-08-01,ETHEUR,369.86,372,351,359.8,11659.11,4198509.52
2018-07-31,ETHEUR,390.19,390.72,366.23,369.86,11421.31,4267224.14
2018-07-30,ETHEUR,400.8,402.92,380.27,390.19,6875.69,2689407.1
2018-07-29,ETHEUR,401.14,403.78,397.44,400.8,2770.73,1108055.63
2018-07-28,ETHEUR,403.73,405.68,397.8,401.14,2185.96,877181.72
2018-07-27,ETHEUR,397.81,407.05,392.4,403.73,6225.07,2482612.69
2018-07-26,ETHEUR,402.59,413.71,395.05,397.81,8335.49,3394815.55
2018-07-25,ETHEUR,411.65,415.97,397.15,402.59,8495.36,3445311.28
2018-07-24,ETHEUR,385,414.14,385,411.65,11515.39,4650740.49
2018-07-23,ETHEUR,391.25,401.9,383.1,385,7567.64,2973213.92
2018-07-22,ETHEUR,395.4,401.57,388.5,391.25,3962.46,1567953.29
2018-07-21,ETHEUR,383,408.3,376.76,395.4,6312.08,2505119.7
2018-07-20,ETHEUR,402.52,403.33,377,383,9529.85,3736046.27
2018-07-19,ETHEUR,411.16,417.74,395.9,402.52,8479.42,3456989.46
2018-07-18,ETHEUR,427.55,439.99,402.01,411.16,14217.48,6012312.73
2018-07-17,ETHEUR,408.48,438.37,397.13,427.55,16078.15,6737007.29
2018-07-16,ETHEUR,385.4,409.66,381.35,408.48,10128.45,4052836.85
2018-07-15,ETHEUR,372.58,388.89,370.58,385.4,3855.1,1472413.32
2018-07-14,ETHEUR,370.99,377.5,368.8,372.58,2881.27,1074374.57
2018-07-13,ETHEUR,370.55,380,365.13,370.99,5874.43,2201564.51
2018-07-12,ETHEUR,382.12,382.15,360,370.55,7034.73,2604566.81
2018-07-11,ETHEUR,370.31,383.1,363.6,382.12,6051.21,2266996.04
2018-07-10,ETHEUR,401.57,402.95,365.12,370.31,11219.9,4269645.06
2018-07-09,ETHEUR,414.07,415.38,400,401.57,5705.38,2326145.05
2018-07-08,ETHEUR,411.34,420,410.95,414.07,4652.08,1931098.08
2018-07-07,ETHEUR,401.01,411.34,395.1,411.34,2495.31,999086.4
2018-07-06,ETHEUR,400.85,404,387.12,401.01,4784.65,1896205.33
2018-07-05,ETHEUR,401.4,410,393.4,400.85,4638.05,1863184.19
2018-07-04,ETHEUR,397.45,414.85,386.7,401.4,5669.37,2284974.66
2018-07-03,ETHEUR,409.09,418.9,394.61,397.45,7351.84,2971669.24
2018-07-02,ETHEUR,387.24,414.87,381.89,409.09,8024.1,3228591.14
2018-07-01,ETHEUR,388.01,389.92,380.69,387.24,2113.43,816942.5
2018-06-30,ETHEUR,373.59,393.65,371.54,388.01,4978.34,1914014.76
2018-06-29,ETHEUR,365,377.21,348,373.59,10197.19,3655068.82
2018-06-28,ETHEUR,381.77,383.91,361.1,365,4755.01,1773462.27
2018-06-27,ETHEUR,369.14,387,362.28,381.77,4944.23,1843379.79
2018-06-26,ETHEUR,392.24,395.37,368.46,369.14,7236.01,2758301.0
2018-06-25,ETHEUR,391.79,406.94,382.36,392.24,6053.81,2392658.43
2018-06-24,ETHEUR,407.99,408.95,362.89,391.79,10564.06,4052123.74
2018-06-23,ETHEUR,397.71,414.58,392.98,407.99,3230.2,1312387.89
2018-06-22,ETHEUR,452.36,453.61,386.01,397.71,13806.56,5687268.64
2018-06-21,ETHEUR,462.24,470.58,450.59,452.36,5220.12,2404613.59
2018-06-20,ETHEUR,464.8,468.9,447.49,462.24,5302.37,2427129.8
2018-06-19,ETHEUR,444.84,474.6,443.37,464.8,6844.2,3152475.28
2018-06-18,ETHEUR,427.7,452.02,421.03,444.84,5640.16,2470097.7
2018-06-17,ETHEUR,429.67,437.62,425.54,427.7,3067.78,1319189.04
2018-06-16,ETHEUR,420.49,434.41,418.51,429.67,2897.95,1235889.89
2018-06-15,ETHEUR,448.98,450.05,417.22,420.49,7608.09,3274366.94
2018-06-14,ETHEUR,403.48,454.98,396.46,448.98,14170.2,6056475.3
2018-06-13,ETHEUR,421,427.52,383,403.48,14646.13,5892296.41
2018-06-12,ETHEUR,452.89,458.51,413.51,421,10253.01,4454379.79
2018-06-11,ETHEUR,446.98,456.49,435,452.89,6898.45,3076605.11
2018-06-10,ETHEUR,506.39,506.39,431,446.98,13588.12,6311185.85
2018-06-09,ETHEUR,509,515.6,506.39,506.39,1419.68,727133.52
2018-06-08,ETHEUR,513,515.97,505.73,509,2623.73,1339292.78
2018-06-07,ETHEUR,514.99,522,510,513,4330.49,2229197.57
2018-06-06,ETHEUR,518.76,520.99,505.7,514.99,4772.12,2448447.98
2018-06-05,ETHEUR,506.54,524.49,493.33,518.76,5684.27,2907466.42
2018-06-04,ETHEUR,530.68,536.13,496.22,506.54,6575.89,3354612.28
2018-06-03,ETHEUR,506.61,539.94,506.55,530.68,5288.18,2797244.52
2018-06-02,ETHEUR,496.68,514,492.71,506.61,3694.98,1870359.27
2018-06-01,ETHEUR,493.78,504.63,482.7,496.68,4576.44,2263426.23
2018-05-31,ETHEUR,478.85,502,473.43,493.78,6734.52,3311981.12
2018-05-30,ETHEUR,490.23,507,464.5,478.85,7682.34,3709890.83
2018-05-29,ETHEUR,439.81,496.72,439.81,490.23,11114.56,5315787.99
2018-05-28,ETHEUR,488.67,499.01,435.45,439.81,10384.79,4735204.23
2018-05-27,ETHEUR,502.41,509.02,477.74,488.67,5172.53,2539719.07
2018-05-26,ETHEUR,501.09,519,496.01,502.41,3497.58,1789136.37
2018-05-25,ETHEUR,512.91,528.45,490.25,501.09,7215.86,3677005.46
2018-05-24,ETHEUR,495,521.58,465,512.91,13734.86,6782783.27
2018-05-23,ETHEUR,544.64,551.7,480.34,495,19849.05,10208306.93
2018-05-22,ETHEUR,593.12,593.12,542.87,544.64,8534.49,4844038.14
2018-05-21,ETHEUR,608.33,613.11,586.16,593.12,4737.44,2837180.96
2018-05-20,ETHEUR,590.9,613.1,585.31,608.33,4086.17,2476025.83
2018-05-19,ETHEUR,589.1,609,580,590.9,5183.57,3076647.56
2018-05-18,ETHEUR,569.44,589.11,558,589.1,7307.6,4210407.3
2018-05-17,ETHEUR,598.99,606.58,562.5,569.44,7357.76,4316727.33
2018-05-16,ETHEUR,598.01,607.49,575.1,598.99,6897.34,4059447.88
2018-05-15,ETHEUR,611,619.39,588,598.01,8435.62,5123178.14
2018-05-14,ETHEUR,612.37,624.9,573.3,611,16387.97,9841191.65
2018-05-13,ETHEUR,572.44,619.9,563,612.37,8109.61,4862879.98
2018-05-12,ETHEUR,566.49,578,535,572.44,11417.41,6359789.68
2018-05-11,ETHEUR,608.5,618.03,550.51,566.49,21283.72,12287142.84
2018-05-10,ETHEUR,633,646.9,608.28,608.5,8945.97,5638282.11
2018-05-09,ETHEUR,630.52,639.06,601,633,8705.15,5425631.74
2018-05-08,ETHEUR,631.39,651.5,605.52,630.52,11202.03,7025737.95
2018-05-07,ETHEUR,659.2,661.53,585,631.39,24918.62,15333987.87
2018-05-06,ETHEUR,679.66,692.49,624,659.2,13268.61,8652892.58
2018-05-05,ETHEUR,653.49,687.89,650.74,679.66,9759.85,6589529.52
2018-05-04,ETHEUR,648.75,674,632.63,653.49,16216.75,10613314.99
2018-05-03,ETHEUR,573.79,655,572.34,648.75,21255.23,13114296.67
2018-05-02,ETHEUR,559.16,574.9,552.14,573.79,8634.75,4886713.23
2018-05-01,ETHEUR,554.9,561.3,519.96,559.16,10354.47,5624630.07
2018-04-30,ETHEUR,569.2,572.49,547,554.9,7981.44,4495521.01
2018-04-29,ETHEUR,562.96,574.9,550.1,569.2,6098.07,3425200.51
2018-04-28,ETHEUR,529.79,569.61,528,562.96,5864.08,3278583.13
2018-04-27,ETHEUR,547.46,570,527.43,529.79,12584.72,6922410.24
2018-04-26,ETHEUR,507.55,552.34,493,547.46,15070.53,7873748.61
2018-04-25,ETHEUR,576.63,576.85,489.12,507.55,36854.24,19183530.72
2018-04-24,ETHEUR,526.98,584,526.97,576.63,18580.68,10501216.15
2018-04-23,ETHEUR,504.99,529.59,504,526.98,8618.07,4499656.15
2018-04-22,ETHEUR,491.6,523.45,483,504.99,9393.88,4787642.79
2018-04-21,ETHEUR,503.52,510,466,491.6,12494.43,6104042.48
2018-04-20,ETHEUR,460.38,506.88,451.8,503.52,12242.44,5820022.55
2018-04-19,ETHEUR,423.96,462,419.06,460.38,10314.37,4558750.56
2018-04-18,ETHEUR,406.77,424.87,406.66,423.96,5420.13,2260980.61
2018-04-17,ETHEUR,412.81,420.99,405,406.77,5504.57,2278061.72
2018-04-16,ETHEUR,432.75,436.97,403,412.81,9860.45,4077592.33
2018-04-15,ETHEUR,409.1,433.8,408.79,432.75,7504.22,3170572.22
2018-04-14,ETHEUR,399.2,417.8,395,409.1,7245.5,2943539.7
2018-04-13,ETHEUR,401.29,429.69,391.82,399.2,23795.63,9783433.16
2018-04-12,ETHEUR,347.2,403,335,401.29,27438.72,10211956.81
2018-04-11,ETHEUR,335.72,349.8,331.96,347.2,6707.79,2277138.89
2018-04-10,ETHEUR,323.3,338.6,319,335.72,5921.5,1940328.48
2018-04-09,ETHEUR,325.5,352.61,315,323.3,15258.4,5073691.37
2018-04-08,ETHEUR,313.45,328.99,313.45,325.5,3839.63,1240105.62
2018-04-07,ETHEUR,302.02,320,302,313.45,3600.9,1128745.24
2018-04-06,ETHEUR,311.65,314,297.15,302.02,7717.78,2329978.09
2018-04-05,ETHEUR,308.88,317.31,300.2,311.65,6176.07,1908106.68
2018-04-04,ETHEUR,339.48,339.55,302.23,308.88,12305.11,3889152.57
2018-04-03,ETHEUR,311.96,344.38,309.02,339.48,11980.89,3965908.57
2018-04-02,ETHEUR,307.86,319.97,304.32,311.96,5585.65,1750677.68
2018-04-01,ETHEUR,320.76,323.61,291.06,307.86,12972.8,3959048.3
2018-03-31,ETHEUR,319.2,350,316.06,320.76,9589.92,3136711.07
2018-03-30,ETHEUR,311.2,334.36,296.04,319.2,17444.69,5439323.04
2018-03-29,ETHEUR,362.96,363.99,308.77,311.2,25197.22,8331431.9
2018-03-28,ETHEUR,361.59,375.2,356.71,362.96,6981.75,2557786.08
2018-03-27,ETHEUR,392.37,395.21,360.28,361.59,10533.43,3920517.61
2018-03-26,ETHEUR,424.72,426.62,376.6,392.37,14917.08,5869880.23
2018-03-25,ETHEUR,422.54,434.96,418,424.72,3237.05,1375683.73
2018-03-24,ETHEUR,438.65,440.37,422.54,422.54,3412.15,1478581.36
2018-03-23,ETHEUR,437.69,438.99,412.42,438.65,7395.1,3130006.79
2018-03-22,ETHEUR,454.48,466.47,422.12,437.69,7236.33,3173716.97
2018-03-21,ETHEUR,456,486,445.01,454.48,10752.72,5015314.26
2018-03-20,ETHEUR,448.93,464.87,419,456,11725.79,5207835.0
2018-03-19,ETHEUR,439.46,459,421.02,448.93,15830.95,6975885.02
2018-03-18,ETHEUR,446.08,459.39,369.8,439.46,41384.42,16972286.15
2018-03-17,ETHEUR,490.3,495.99,439.99,446.08,9234.08,4293043.18
2018-03-16,ETHEUR,495.83,510,475.83,490.3,6134.78,3043989.27
2018-03-15,ETHEUR,496.86,505.66,463.57,495.83,10082.35,4923021.71
2018-03-14,ETHEUR,557.46,565.18,475,496.86,15270.96,7769815.63
2018-03-13,ETHEUR,565.7,578,551.3,557.46,4235.38,2382090.54
2018-03-12,ETHEUR,583.35,603.09,551.71,565.7,5872.01,3392347.97
2018-03-11,ETHEUR,556.24,595.7,542,583.35,6051.7,3457041.68
2018-03-10,ETHEUR,590.03,609.5,551,556.24,6731.46,3949526.65
2018-03-09,ETHEUR,570.57,593.62,520,590.03,14386.99,7969788.61
2018-03-08,ETHEUR,608,632.78,561,570.57,9118.0,5424937.73
2018-03-07,ETHEUR,658.18,664.34,585.2,608,12784.96,7878493.43
2018-03-06,ETHEUR,691.27,691.27,651.5,658.18,6082.22,4083939.5
2018-03-05,ETHEUR,699,700,691.27,691.27,3099.41,2162352.62
2018-03-04,ETHEUR,690.42,699,681.39,699,2153.77,1489429.12
2018-03-03,ETHEUR,694.3,704.35,686.11,690.42,2853.55,1988906.33
2018-03-02,ETHEUR,710,714.16,688.05,694.3,3864.86,2711772.55
2018-03-01,ETHEUR,697.51,716.6,696.58,710,3064.58,2177945.87
2018-02-28,ETHEUR,715.6,724.89,696.56,697.51,4772.73,3395471.62
2018-02-27,ETHEUR,704.24,727.52,702,715.6,5396.35,3872734.83
2018-02-26,ETHEUR,685.46,714.54,680,704.24,6600.54,4631494.82
2018-02-25,ETHEUR,679.07,692.61,666.66,685.46,4253.12,2897560.59
2018-02-24,ETHEUR,699.37,711.12,661,679.07,5253.23,3580336.12
2018-02-23,ETHEUR,655,719.98,641.28,699.37,11468.48,7944639.3
2018-02-22,ETHEUR,687.38,710,641,655,11487.36,7665132.26
2018-02-21,ETHEUR,721.35,738.5,663,687.38,14479.69,10082814.73
2018-02-20,ETHEUR,759.64,775.55,712,721.35,11991.65,9030451.51
2018-02-19,ETHEUR,742.81,769.98,741.46,759.64,4783.06,3642415.37
2018-02-18,ETHEUR,790.98,795,733.29,742.81,10846.39,8229478.58
2018-02-17,ETHEUR,757.4,792.19,754.36,790.98,7430.43,5794321.9
2018-02-16,ETHEUR,750.55,759.44,732.96,757.4,6641.95,4967028.16
2018-02-15,ETHEUR,743.38,769.71,721.47,750.55,18002.23,13486345.61
2018-02-14,ETHEUR,684.38,745,681.15,743.38,20931.75,15081870.25
2018-02-13,ETHEUR,701.42,702.86,675.9,684.38,8473.62,5816995.15
2018-02-12,ETHEUR,664.59,709,661.01,701.42,10919.07,7628809.14
2018-02-11,ETHEUR,695.4,705.51,635.66,664.59,16420.46,11036411.17
2018-02-10,ETHEUR,717,748,674.01,695.4,25077.64,17821224.46
2018-02-09,ETHEUR,664.26,725,640,717,23908.13,16509292.61
2018-02-08,ETHEUR,614.31,695.14,613.06,664.26,28792.19,19082426.36
2018-02-07,ETHEUR,636,713.99,586,614.31,53132.97,35302127.47
2018-02-06,ETHEUR,550.01,657.17,450.09,636,111249.5,61808043.91
2018-02-05,ETHEUR,658.99,682.98,485,550.01,84407.56,48390989.38
2018-02-04,ETHEUR,780,784,631,658.99,30359.44,21086802.06
2018-02-03,ETHEUR,736.76,809,681.21,780,23553.29,18057796.51
